Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10
1630752774,21.6904296875,1004.4574094629866,50.744572231107696,1,3,5
1630752775,21.6802734375,1004.4623671415571,50.761749824045395,1,3,5
1630752777,21.6853515625,1004.4702721569972,50.601301687862055,1,3,5
1630752779,21.6701171875,1004.4713905373553,50.68706988121964,1,3,5
1630752781,21.6751953125,1004.4881154314862,50.60702773801598,1,3,5
1630752783,21.6802734375,1004.4800048511995,50.80158484416894,1,3,5
1630752785,21.6904296875,1004.4099577280479,50.641262814105886,1,3,5
1630752787,21.6802734375,1004.4474712016579,50.68731296004513,1,3,5
1630752789,21.6701171875,1004.4423992230371,50.795859187792665,1,3,5
1630752791,21.6751953125,1004.4537537524166,50.789888049499645,1,3,5
1630752794,21.6701171875,1004.4785884283576,50.76735322022515,1,3,5
1630752796,21.6701171875,1004.450303718738,50.727150557787596,1,3,5
1630752798,21.6701171875,1004.4342888468559,50.732754252432,0,3,5
1630752800,21.6701171875,1004.4584140322928,50.795859187792665,0,3,5
1630752802,21.6701171875,1004.4569979042519,50.73287633008537,0,3,5
1630752804,21.6650390625,1004.4340830964959,50.675496748043635,0,3,5
1630752806,21.6650390625,1004.4042688314419,50.71545521047314,0,3,5
1630752808,21.6599609375,1004.445025535372,50.60630380212583,0,3,5
1630752810,21.6599609375,1004.4091348953608,50.577675414766695,0,2,3
1630752812,21.6548828125,1004.4253551126416,50.66940680496689,0,2,3
1630752814,21.6498046875,1004.4559671940981,50.60630380212583,0,3,5
1630752816,21.6447265625,1004.4545515201015,50.64662540698507,0,3,5
1630752818,21.6447265625,1004.4411627714262,50.675132412543114,0,3,5
1630752820,21.6396484375,1004.4559671940981,50.78343095084829,1,3,5
1630752822,21.6498046875,1004.4573827382035,50.73226583777719,0,3,5
1630752824,21.6447265625,1004.4379187788494,50.64626198902565,0,3,5
1630752826,21.6447265625,1004.4330527904712,50.70900304914958,1,3,5
1630752829,21.6548828125,1004.4687367188088,50.691944160205516,1,3,5
1630752831,21.6345703125,1004.4736027114701,50.646140828897195,1,3,5
1630752833,21.6447265625,1004.4573827382035,50.571829407923836,1,3,4
1630752835,21.6396484375,1004.4997614907621,50.67488947018812,1,3,4
1630752837,21.6498046875,1004.4592112144508,50.669285404322196,1,3,4
1630752839,21.6447265625,1004.4685300569463,50.629085384422595,1,3,4
1630752841,21.6548828125,1004.4539322010335,50.62896442029005,1,3,4
