Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637188804.0083606,37.875791667,-122.258991667,4.0,33.0
1637188811.0884984,37.875791667,-122.258991667,4.0,37.6
1637188818.2990549,37.875791667,-122.258991667,5.0,34.6
1637188825.1210063,37.875791667,-122.258991667,5.0,35.2
1637188831.8260775,37.875791667,-122.258991667,4.0,36.6
1637188838.741756,37.875791667,-122.258991667,4.0,26.6
1637188845.4890745,37.875791667,-122.258993333,4.0,26.8
1637188852.3922884,37.875791667,-122.258993333,4.0,37.6
1637188859.2974012,37.875791667,-122.258991667,4.0,35.2
1637188866.147991,37.875791667,-122.258993333,4.0,31.8
1637188873.0506496,37.875795,-122.258981667,4.0,29.2
1637188880.0759535,37.875795,-122.258981667,4.0,27.2
1637188887.1681087,37.875793333,-122.258981667,4.0,32.6
1637188894.4426415,37.875726667,-122.258978333,5.0,30.8
1637188902.6534066,37.87566,-122.258956667,5.0,31.4
1637188909.9562073,37.87562,-122.25896,5.0,29.0
1637188917.0042288,37.875571667,-122.258951667,5.0,33.6
1637188924.3251646,37.875521667,-122.258931667,5.0,32.4
1637188931.529491,37.875483333,-122.25893,5.0,27.8
1637188939.108273,37.87539,-122.25893,5.0,25.6
1637188946.3805919,37.87533,-122.258936667,5.0,26.6
1637188953.8670864,37.875303333,-122.259106667,5.0,22.6
1637188961.60515,37.875313333,-122.259158333,5.0,24.8
1637188969.2739003,37.875291667,-122.259303333,5.0,25.4
1637188976.696764,37.875266667,-122.25937,6.0,27.8
1637188984.4433515,37.875245,-122.259533333,6.0,27.6
1637188991.805309,37.875226667,-122.25962,6.0,24.4
1637188999.4835203,37.875203333,-122.259768333,6.0,25.0
1637189010.5260577,37.875191667,-122.25993,6.0,30.0
1637189018.5824275,37.875151667,-122.26005,6.0,30.4
1637189026.203625,37.875095,-122.260085,6.0,28.4
1637189035.1897764,37.874986667,-122.2601,6.0,26.4
1637189043.1807415,37.874915,-122.260108333,6.0,27.6
1637189051.5761335,37.87488,-122.260098333,6.0,27.2
1637189059.6706681,37.874758333,-122.260085,6.0,23.2
1637189067.5942698,37.874653333,-122.260066667,6.0,26.4
1637189075.6212,37.874586667,-122.26005,6.0,30.6
1637189085.0692239,37.874488333,-122.260026667,6.0,31.8
1637189093.4991615,37.874395,-122.259993333,5.0,35.0
1637189101.5415,37.874341667,-122.259978333,6.0,31.0
1637189109.84497,37.874225,-122.259991667,6.0,32.4
1637189118.0946841,37.874128333,-122.259971667,5.0,29.2
1637189127.015187,37.874086667,-122.259953333,5.0,34.0
1637189135.8372953,37.873995,-122.259903333,5.0,27.4
1637189144.3546498,37.873886667,-122.259846667,5.0,31.2
1637189152.6608608,37.873836667,-122.259811667,5.0,33.2
1637189161.4941893,37.873693333,-122.259826667,5.0,31.2
1637189170.0926092,37.873593333,-122.259758333,5.0,29.6
1637189178.4944935,37.873515,-122.259643333,5.0,27.6
1637189187.068432,37.873483333,-122.259575,5.0,29.4
1637189195.7715063,37.873586667,-122.25941,5.0,33.8
1637189204.4279985,37.873635,-122.259311667,5.0,29.0
1637189213.0406663,37.873636667,-122.259175,5.0,28.8
1637189221.8530357,37.873641667,-122.259121667,5.0,38.8
1637189230.739834,37.873661667,-122.259036667,6.0,31.6
1637189239.540408,37.873673333,-122.258971667,6.0,34.6
1637189248.758725,37.873688333,-122.258783333,6.0,33.8
1637189257.5663168,37.873711667,-122.25873,6.0,29.6
1637189266.560464,37.87376,-122.25862,6.0,30.8
1637189275.8823211,37.873811667,-122.258536667,6.0,34.2
1637189284.9838727,37.873763333,-122.258485,5.0,35.4
1637189294.550945,37.873668333,-122.25832,6.0,31.4
1637189303.787479,37.873723333,-122.258086667,6.0,26.8
1637189313.0973284,37.873815,-122.258173333,5.5,33.2
1637189322.2653923,37.873876667,-122.258201667,6.0,33.8
1637189331.48689,37.873898333,-122.258176667,5.0,44.0
1637189341.0210369,37.873885,-122.25812,6.0,45.4
1637189350.4318619,37.873908333,-122.258041667,6.0,36.8
1637189359.8284292,37.87372,-122.258013333,6.0,39.6
1637189369.347495,37.873628333,-122.257928333,5.0,43.8
1637189379.5246055,37.873628333,-122.25786,5.0,49.2
1637189389.899069,37.873708333,-122.257836667,6.0,47.0
1637189399.5284753,37.873725,-122.257833333,6.0,48.2
1637189409.3164124,37.873796667,-122.25784,6.0,40.0
1637189418.8534918,37.873898333,-122.25777,6.0,41.4
1637189428.5547729,37.87431,-122.25777,6.0,35.0
1637189438.5525563,37.874211667,-122.257676667,6.0,35.2
1637189448.3737104,37.874106667,-122.25759,6.0,47.2
1637189458.232527,37.87407,-122.25744,6.0,31.8
1637189468.1579738,37.874095,-122.257295,6.0,33.2
1637189478.0052485,37.874156667,-122.257165,6.0,29.8
1637189488.2821033,37.874188333,-122.257021667,5.0,36.6
1637189498.2569232,37.87421,-122.256913333,6.0,30.6
1637189508.2977068,37.874225,-122.256791667,6.0,31.8
1637189518.434504,37.874245,-122.25669,5.0,35.0
1637189528.6336708,37.874298333,-122.256605,5.0,32.6
1637189539.0660627,37.87435,-122.256486667,5.0,39.2
1637189549.3004348,37.874363333,-122.256341667,5.0,38.4
1637189563.0791683,37.874368333,-122.256165,4.0,36.0
1637189573.5547175,37.874371667,-122.256041667,5.0,40.2
1637189583.736466,37.87438,-122.255968333,5.0,30.8
1637189594.252764,37.87458,-122.255948333,5.0,33.4
1637189604.794961,37.874651667,-122.255968333,5.0,25.4
1637189615.0681157,37.87473,-122.256025,5.0,31.0
1637189625.507373,37.874783333,-122.2561,5.0,26.8
1637189635.9805965,37.874873333,-122.256221667,5.0,29.0
1637189646.5576477,37.874955,-122.256328333,5.0,28.8
1637189657.7710593,37.87509,-122.256478333,5.0,30.8
1637189668.4076898,37.875153333,-122.256553333,5.0,30.0
1637189679.025655,37.875201667,-122.256635,5.0,26.4
1637189689.9315176,37.875281667,-122.256711667,6.0,26.0
1637189701.1058264,37.875365,-122.256788333,6.0,30.2
1637189712.0377004,37.875458333,-122.256901667,6.0,31.2
1637189723.0674741,37.875686667,-122.257026667,6.0,34.2
1637189734.254542,37.875658333,-122.257145,6.0,34.0
1637189745.1944795,37.875636667,-122.257291667,6.0,39.0
1637189756.115639,37.875603333,-122.257405,6.0,40.8
1637189767.0249398,37.875563333,-122.25756,6.0,33.6
1637189778.1425123,37.875541667,-122.257796667,6.0,36.6
1637189789.1249084,37.875556667,-122.257935,6.0,34.6
1637189800.7537963,37.875533333,-122.258075,102.5,36.6
1637189812.6241412,37.875491667,-122.258245,8.5,32.8
1637189824.4699237,37.875466667,-122.258383333,7.0,38.2
1637189835.733133,37.875446667,-122.25854,6.5,34.6
1637189847.096947,37.87545,-122.258708333,9.0,30.6
1637189858.4989457,37.875468333,-122.25889,8.0,28.4
1637189870.1790338,37.875483333,-122.25892,6.0,29.6
1637189881.6234863,37.87548,-122.258926667,6.0,40.2
1637189893.1553204,37.875551667,-122.259031667,6.0,35.4
1637189904.8304534,37.875603333,-122.259073333,5.0,34.0
1637189916.4961655,37.875718333,-122.258981667,5.0,33.8
1637189928.173717,37.87591,-122.258831667,5.5,34.4
1637189940.4518073,37.876045,-122.258735,6.0,32.4
1637189952.3145,37.876066667,-122.258688333,6.0,31.0
1637189964.2287905,37.8761,-122.258603333,6.0,32.2
1637189976.073458,37.87609,-122.258511667,6.0,24.4
1637189987.95685,37.876118333,-122.258526667,6.0,22.2
1637190000.10659,37.876128333,-122.258538333,5.0,28.0
