Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1634746427.3434453,0,0,4.0,33.8
1634746433.352368,0,0,4.0,33.2
1634746439.1804516,0,0,6.0,34.4
1634746444.9768226,0,0,6.0,35.6
1634746450.8423831,0,0,5.0,35.6
1634746456.6539724,0,0,5.0,34.8
1634746462.6082194,0,0,5.0,30.4
1634746468.5983813,0,0,5.0,28.2
1634746474.5054672,0,0,5.0,30.0
1634746480.407139,0,0,5.0,30.2
1634746486.4255693,0,0,5.0,27.4
1634746492.2725189,0,0,5.0,31.4
1634746498.4305608,0,0,5.0,31.6
1634746504.427675,0,0,5.0,33.2
1634746510.4559455,0,0,5.0,29.0
1634746516.3647861,0,0,5.0,27.0
1634746522.5255537,0,0,5.0,30.0
1634746528.8271255,0,0,5.0,31.4
1634746534.9001324,0,0,5.0,27.0
1634746540.982203,0,0,5.0,25.8
1634746547.1245892,0,0,5.0,29.2
1634746553.3649652,0,0,5.0,32.8
1634746559.5065722,0,0,5.0,32.2
1634746565.723292,0,0,5.0,35.8
1634746571.8239758,0,0,10.0,35.6
1634746578.0747333,0,0,16.5,30.8
1634746584.3143198,0,0,9.5,29.0
1634746590.4845188,0,0,5.5,30.6
1634746596.7272441,0,0,5.0,27.2
1634746603.077059,0,0,5.0,30.0
1634746609.4106238,0,0,4.0,29.2
1634746615.7066505,0,0,4.0,31.2
1634746622.0458148,0,0,5.0,32.8
1634746628.5657299,0,0,4.0,39.4
1634746635.0672588,0,0,4.0,32.2
1634746641.5074096,0,0,4.0,31.2
1634746648.0455678,0,0,4.0,36.0
1634746654.479873,0,0,4.0,34.0
1634746660.8194768,0,0,4.0,25.4
1634746667.261475,0,0,4.0,35.2
1634746673.9039798,0,0,4.0,30.8
1634746680.388669,0,0,4.0,28.2
1634746686.8978863,0,0,4.0,31.4
1634746693.52612,0,0,4.0,33.2
1634746700.043932,0,0,4.0,30.6
1634746706.5885744,0,0,4.0,30.8
1634746713.2557986,0,0,4.0,38.4
1634746719.8518584,0,0,4.0,31.8
1634746726.5288415,0,0,4.0,33.6
1634746733.284859,0,0,4.0,26.6
1634746739.94228,0,0,4.0,35.4
1634746746.6169722,0,0,4.0,31.8
